Efficiency,EMAIL,PHONE,FACETOFACE
9800.0,18,15,2
8638.0,9,22,15
9341.0,17,5,29
8800.0,16,29,15
8636.0,14,16,13
8885.0,27,13,11
8800.0,23,18,10
8859.0,3,25,22
9200.0,8,9,28
9200.0,12,6,26
8600.0,12,20,16
8600.0,10,19,19
8842.0,10,26,12
9690.0,12,28,4
9095.0,6,7,17
8612.0,28,26,19
10200.0,12,9,2
9529.0,5,27,7
9000.0,19,11,29
9653.0,9,2,27
9219.0,9,17,7
8694.0,6,23,20
9000.0,21,9,12
8879.0,7,18,12
10058.0,3,23,3
9400.0,25,17,5
10899.0,17,3,1
8628.0,14,28,19
10332.0,15,27,0
9200.0,18,15,6
8800.0,14,19,11
9115.0,3,28,26
9625.0,29,29,5
9350.0,3,20,8
9056.0,11,29,29
8800.0,27,10,18
9000.0,6,11,26
8800.0,27,22,28
8725.0,9,21,26
9639.0,14,1,12
9800.0,23,22,2
9209.0,6,7,26
8600.0,22,15,14
8600.0,29,20,16
9800.0,18,29,3
8629.0,17,27,15
11000.0,14,3,1
8665.0,16,28,24
9263.0,29,9,9
10875.0,9,7,0
10118.0,16,20,0
8800.0,7,24,24
8518.0,21,16,23
9008.0,14,6,24
9600.0,26,13,4
8637.0,11,18,14
9000.0,29,7,23
9627.0,14,1,27
8800.0,4,16,17
8932.0,25,11,11
9064.0,12,6,15
8677.0,26,28,23
9636.0,26,22,3
9800.0,23,2,9
8864.0,12,8,22
10064.0,26,0,9
8715.0,6,20,16
9000.0,1,27,20
9200.0,13,24,7
8800.0,29,16,27
9405.0,26,2,24
8746.0,21,9,18
9229.0,16,3,16
9000.0,14,13,9
8800.0,20,28,26
9400.0,16,25,5
8600.0,20,14,24
9800.0,25,22,2
9204.0,10,5,14
12000.0,2,2,0
8600.0,26,16,15
9010.0,1,26,17
8801.0,19,8,23
8439.0,25,19,19
11342.0,18,2,0
10047.0,27,28,2
9311.0,7,8,29
8447.0,13,18,19
8498.0,25,23,21
9600.0,25,8,6
11200.0,1,3,3
9031.0,17,10,10
8636.0,28,25,15
10208.0,16,25,0
9935.0,7,1,11
11467.0,26,0,1
8800.0,29,23,28
9141.0,3,29,25
9868.0,0,2,17
8485.0,15,18,22
8654.0,7,19,17
9291.0,28,4,14
8622.0,24,28,22
9008.0,1,25,24
8800.0,13,25,27
9200.0,2,23,11
8876.0,12,8,22
8515.0,20,23,23
11000.0,3,7,1
8600.0,16,13,18
9000.0,25,8,25
8800.0,11,12,14
9800.0,8,1,26
9000.0,23,26,9
9128.0,1,22,12
8630.0,23,18,13
9800.0,18,12,3
10802.0,5,0,6
9037.0,3,17,12
9511.0,27,21,4
11000.0,1,3,4
8500.0,16,15,19
9800.0,12,5,7
9600.0,6,23,5
10323.0,0,1,28
9480.0,11,2,14
9332.0,1,11,28
10600.0,22,1,4
9353.0,2,16,9
9000.0,4,10,23
9200.0,4,12,11
8881.0,22,12,29
8492.0,18,25,21
9450.0,11,4,11
10054.0,29,9,3
9745.0,0,4,24
9200.0,13,6,27
8832.0,7,29,20
8627.0,13,25,16
9014.0,22,8,28
9263.0,19,21,5
10000.0,4,0,15
10306.0,3,10,3
8600.0,17,14,16
10872.0,0,2,6
10482.0,25,29,0
9000.0,18,15,8
9047.0,1,12,17
9400.0,2,18,8
9102.0,6,19,9
9200.0,20,6,12
8674.0,29,28,20
9000.0,6,22,10
8878.0,4,18,26
8800.0,5,22,15
9400.0,10,29,7
9200.0,2,12,27
8800.0,28,13,26
11600.0,6,1,1
9800.0,28,11,4
8660.0,23,29,21
8732.0,26,14,26
9000.0,15,29,11
8870.0,4,26,16
8453.0,14,19,18
8614.0,13,25,24
10000.0,18,1,8
9200.0,5,28,28
9122.0,17,27,8
8607.0,25,11,20
8501.0,17,24,18
9731.0,28,11,4
8667.0,6,21,18
8831.0,12,13,12
9200.0,14,23,6
9004.0,17,5,16
9212.0,24,3,22
8675.0,21,23,12
11505.0,18,1,0
11128.0,25,2,1
9400.0,0,10,13
8859.0,3,25,22
8800.0,14,19,10
8502.0,26,18,20
8800.0,26,18,28
9832.0,20,6,5
8800.0,13,29,15
8600.0,12,13,19
10847.0,19,5,0
9800.0,8,27,4
10000.0,18,24,1
9800.0,25,0,12
8615.0,28,24,24
8600.0,17,13,24
9600.0,14,4,9
8600.0,27,15,16
9938.0,14,26,2
8600.0,13,24,23
8600.0,17,14,15
9000.0,18,25,9
9417.0,19,1,24
10200.0,26,17,0
10525.0,2,11,2
9616.0,5,4,12
9085.0,7,21,9
8600.0,25,20,13
9670.0,24,9,5
9905.0,8,10,4
8600.0,10,20,15
11016.0,5,2,3
9000.0,13,16,9
8600.0,19,17,13
9000.0,27,27,10
10037.0,24,6,4
9088.0,5,18,10
8400.0,20,19,20
9600.0,21,9,5
9027.0,3,27,25
8600.0,27,15,23
8647.0,16,10,19
10116.0,18,9,2
9000.0,22,8,12
9000.0,8,7,18
8850.0,21,17,9
10648.0,7,6,2
10121.0,17,28,1
8896.0,6,25,13
9000.0,3,15,14
10400.0,8,2,6
8505.0,17,15,21
10200.0,5,1,9
8800.0,7,16,25
9400.0,17,1,21
10000.0,7,0,12
10023.0,7,0,28
9135.0,19,6,12
9200.0,23,11,8
9400.0,4,11,9
8600.0,23,14,14
8681.0,13,19,27
8606.0,11,13,21
9535.0,28,18,4
8605.0,21,25,25
10066.0,25,2,7
9600.0,5,3,25
9800.0,0,3,16
9000.0,5,16,12
9626.0,0,8,29
9000.0,3,17,26
8914.0,23,26,10
9018.0,29,11,29
9200.0,18,3,23
8506.0,24,22,16
9099.0,4,8,18
8600.0,10,17,22
9291.0,18,5,11
9409.0,19,22,4
8600.0,23,12,22
10262.0,27,25,0
8600.0,16,19,26
10600.0,15,6,1
10095.0,18,5,4
8800.0,19,27,28
8800.0,12,28,14
9033.0,7,24,10
8600.0,18,22,26
8679.0,13,28,22
9800.0,29,3,9
9813.0,28,20,2
11000.0,21,4,0
8671.0,14,11,20
9830.0,20,10,3
9000.0,5,9,19
10400.0,1,2,9
8608.0,15,24,14
9450.0,22,1,24
8800.0,23,9,17
9200.0,28,5,15
9514.0,27,15,4
8800.0,5,16,21
10200.0,14,2,6
8604.0,29,16,23
9538.0,1,24,8
9000.0,8,10,13
9674.0,19,5,7
9866.0,22,10,3
9653.0,27,0,24
8691.0,22,21,28
9934.0,18,12,2
8661.0,19,28,24
9800.0,5,17,4
9064.0,28,6,24
11985.0,1,1,1
10400.0,1,2,9
9011.0,1,23,14
8600.0,20,15,16
8460.0,16,17,22
8475.0,24,23,20
8805.0,24,10,13
9023.0,0,14,22
8600.0,15,21,26
8508.0,14,22,17
8800.0,10,21,11
10000.0,25,12,2
9104.0,4,17,10
9841.0,21,13,2
8720.0,11,24,25
8600.0,9,19,16
10106.0,6,4,7
11311.0,4,6,0
8503.0,28,18,18
11000.0,0,10,1
8600.0,11,17,20
10233.0,23,14,0
9430.0,26,6,9
8600.0,24,17,16
9298.0,14,2,20
9800.0,10,0,26
9000.0,10,15,10
9083.0,6,29,27
8800.0,19,29,25
9000.0,4,15,26
9441.0,18,2,13
8800.0,20,9,16
8800.0,26,10,16
8470.0,18,20,22
9000.0,20,23,8
9403.0,28,3,26
9200.0,5,6,20
9503.0,11,1,23
8800.0,11,16,28
8600.0,12,24,17
9800.0,29,2,10
8600.0,27,22,22
8725.0,10,20,26
8486.0,19,23,17
8626.0,12,13,20
10800.0,14,7,0
9000.0,1,23,22
9400.0,4,6,25
9400.0,26,18,5
8800.0,8,25,26
11269.0,0,3,3
8600.0,19,22,14
9648.0,4,18,5
9800.0,2,8,8
9259.0,4,11,29
9848.0,29,18,2
8600.0,26,20,14
9446.0,3,20,7
9883.0,16,3,7
8441.0,17,19,23
9200.0,25,15,7
10234.0,6,17,1
8600.0,21,16,15
9200.0,20,22,6
10269.0,1,13,3
8720.0,29,27,15
10400.0,1,0,28
